Date,Temp9am,Temp3pm,MinTemp,MaxTemp,Rainfall,RainToday,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,ID
01-02-13,20.7,20.9,19.5,22.4,15.6,Yes,6.2,0.0,W,41,S,SSW,17,20,92,84,1017.6,1017.4,8,8,1
02-02-13,22.4,24.8,19.5,25.6,6.0,Yes,3.4,2.7,W,41,W,E,9,13,83,73,1017.9,1016.4,7,7,2
03-02-13,23.5,23.0,21.6,24.5,6.6,Yes,2.4,0.1,W,41,ESE,ESE,17,2,88,86,1016.7,1015.6,7,8,3
04-02-13,21.4,20.9,20.2,22.8,18.8,Yes,2.2,0.0,W,41,NNE,E,22,20,83,90,1014.2,1011.8,8,8,4
05-02-13,22.5,25.5,19.7,25.7,77.4,Yes,4.8,0.0,W,41,NNE,W,11,6,88,74,1008.3,1004.8,8,8,5
06-02-13,23.8,26.0,20.2,27.2,1.6,Yes,2.6,8.6,W,41,W,ENE,9,22,69,62,1002.7,998.6,6,6,6
07-02-13,21.7,22.3,18.6,26.3,6.2,Yes,5.2,5.2,W,41,W,S,15,15,75,80,999.0,1000.3,4,7,7
08-02-13,18.9,21.1,17.2,22.3,27.6,Yes,5.8,2.1,W,41,S,SE,7,15,77,61,1008.3,1007.4,7,8,8
09-02-13,17.1,16.5,16.4,20.8,12.6,Yes,4.8,3.0,W,41,SSW,W,19,9,92,91,1006.4,1007.6,7,7,9
10-02-13,17.2,23.3,14.6,24.2,8.8,No,4.4,10.1,W,41,W,SSE,11,20,80,53,1014.0,1013.4,4,2,10
11-02-13,18.9,23.7,16.4,23.9,0.0,No,6.4,8.0,W,41,WNW,E,9,26,78,53,1017.6,1015.3,7,8,11
12-02-13,22.9,24.7,18.9,27.3,0.0,Yes,6.8,6.7,W,41,N,NE,7,24,68,67,1010.7,1007.5,7,7,12
13-02-13,20.9,21.0,18.4,22.8,14.4,Yes,7.0,3.3,W,41,S,S,24,30,87,70,1009.2,1011.7,8,7,13
14-02-13,18.4,23.3,16.9,24.3,3.0,No,3.2,8.7,W,41,SSW,SSE,15,19,81,51,1017.2,1016.5,7,1,14
15-02-13,19.5,23.8,18.3,24.4,0.0,No,6.2,8.5,W,41,SW,SSE,19,22,80,56,1020.2,1018.9,7,3,15
16-02-13,19.8,23.3,16.7,24.1,0.0,No,6.2,8.8,W,41,WNW,SSE,11,26,77,52,1023.0,1022.6,7,6,16
17-02-13,21.8,23.4,19.5,24.8,0.0,No,7.6,3.2,W,41,SE,ESE,13,24,63,62,1024.7,1023.1,7,7,17
18-02-13,21.2,23.8,18.6,25.3,0.0,No,4.2,4.5,W,41,SSE,ENE,13,24,70,59,1021.7,1019.4,7,6,18
19-02-13,20.8,23.4,19.0,24.8,0.0,No,5.2,7.5,W,41,WNW,E,7,17,79,65,1018.0,1015.4,7,7,19
